SOA,Program,Crop,Crop_2,Value,share,150
Inibidores da formação de microtubulos,PÓS-emergente,Arroz,Arroz (n=45),0,0,
Desvio de elétrons do FSI,PÓS-emergente,Arroz,Arroz (n=45),0,0,
Inibidores do FSII,PÓS-emergente,Arroz,Arroz (n=45),13,9,
Inibidores da PPO,PÓS-emergente,Arroz,Arroz (n=45),6,4,
Mimetizadores da auxina,PÓS-emergente,Arroz,Arroz (n=45),10,7,
Inibidores da AGCML,PÓS-emergente,Arroz,Arroz (n=45),0,0,
Inibidores da ALS ,Dessecante colheita,Arroz,Arroz (n=45),0,0,0
Inibidores da ACCase ,Dessecante colheita,Arroz,Arroz (n=45),0,0,
Inibidores da DOXP sintase,Dessecante colheita,Arroz,Arroz (n=45),0,0,
Inibidores da glutamina sintetase,Dessecante colheita,Arroz,Arroz (n=45),0,0,
Inibidores da HPPD,Dessecante colheita,Arroz,Arroz (n=45),0,0,
Inibidores da EPSPS,Dessecante colheita,Arroz,Arroz (n=45),0,0,
Inibidores da formação de microtubulos,Dessecante colheita,Arroz,Arroz (n=45),0,0,
Desvio de elétrons do FSI,Dessecante colheita,Arroz,Arroz (n=45),0,0,
Inibidores do FSII,Dessecante colheita,Arroz,Arroz (n=45),0,0,
Inibidores da PPO,Dessecante colheita,Arroz,Arroz (n=45),0,0,
Mimetizadores da auxina,Dessecante colheita,Arroz,Arroz (n=45),0,0,
Inibidores da AGCML,Dessecante colheita,Arroz,Arroz (n=45),0,0,
Inibidores da ALS ,Dessecante pré plantio,Feijão,Feijão (n=57),3,2,130
Inibidores da ACCase ,Dessecante pré plantio,Feijão,Feijão (n=57),3,2,
Inibidores da DOXP sintase,Dessecante pré plantio,Feijão,Feijão (n=57),0,0,
Inibidores da glutamina sintetase,Dessecante pré plantio,Feijão,Feijão (n=57),3,2,
Inibidores da HPPD,Dessecante pré plantio,Feijão,Feijão (n=57),0,0,
Inibidores da EPSPS,Dessecante pré plantio,Feijão,Feijão (n=57),92,71,
Inibidores da formação de microtubulos,Dessecante pré plantio,Feijão,Feijão (n=57),0,0,
Desvio de elétrons do FSI,Dessecante pré plantio,Feijão,Feijão (n=57),8,6,
Inibidores do FSII,Dessecante pré plantio,Feijão,Feijão (n=57),0,0,
Inibidores da PPO,Dessecante pré plantio,Feijão,Feijão (n=57),16,12,
Mimetizadores da auxina,Dessecante pré plantio,Feijão,Feijão (n=57),5,4,
Inibidores da AGCML,Dessecante pré plantio,Feijão,Feijão (n=57),0,0,
Inibidores da ALS ,PRÉ-emergente,Feijão,Feijão (n=57),13,9,140
Inibidores da ACCase ,PRÉ-emergente,Feijão,Feijão (n=57),0,0,
Inibidores da DOXP sintase,PRÉ-emergente,Feijão,Feijão (n=57),0,0,
Inibidores da glutamina sintetase,PRÉ-emergente,Feijão,Feijão (n=57),0,0,
Inibidores da HPPD,PRÉ-emergente,Feijão,Feijão (n=57),0,0,
Inibidores da EPSPS,PRÉ-emergente,Feijão,Feijão (n=57),7,5,
Inibidores da formação de microtubulos,PRÉ-emergente,Feijão,Feijão (n=57),27,19,
Desvio de elétrons do FSI,PRÉ-emergente,Feijão,Feijão (n=57),0,0,
Inibidores do FSII,PRÉ-emergente,Feijão,Feijão (n=57),7,5,
Inibidores da PPO,PRÉ-emergente,Feijão,Feijão (n=57),13,9,
Mimetizadores da auxina,PRÉ-emergente,Feijão,Feijão (n=57),0,0,
Inibidores da AGCML,PRÉ-emergente,Feijão,Feijão (n=57),73,52,
Inibidores da ALS ,PÓS-emergente,Feijão,Feijão (n=57),16,8,189
Inibidores da ACCase ,PÓS-emergente,Feijão,Feijão (n=57),58,31,
Inibidores da DOXP sintase,PÓS-emergente,Feijão,Feijão (n=57),0,0,
Inibidores da glutamina sintetase,PÓS-emergente,Feijão,Feijão (n=57),0,0,
