SOA,Program,Crop,Crop_2,Value,share,150
Synthetic auxin,Harvest aid,Common bean,Common bean (n=57),0,0,
LCFA inhibitor,Harvest aid,Common bean,Common bean (n=57),0,0,
ALS inhibitor ,Burndown,Soybean,Soybean (n=159),10,5,219
ACCase inhibitor,Burndown,Soybean,Soybean (n=159),14,6,
Diterpene synthase-inhibitor,Burndown,Soybean,Soybean (n=159),0,0,
Glutamine synthetase-inhibitor,Burndown,Soybean,Soybean (n=159),3,1,
HPPD-inhibitor,Burndown,Soybean,Soybean (n=159),0,0,
EPSPS-inhibitor,Burndown,Soybean,Soybean (n=159),85,39,
Microtubule inhibitor,Burndown,Soybean,Soybean (n=159),0,0,
PSI-inhibitor,Burndown,Soybean,Soybean (n=159),24,11,
PSII-inhibitor,Burndown,Soybean,Soybean (n=159),5,2,
PPO-inhibitor,Burndown,Soybean,Soybean (n=159),20,9,
Synthetic auxin,Burndown,Soybean,Soybean (n=159),56,26,
LCFA inhibitor,Burndown,Soybean,Soybean (n=159),2,1,
ALS inhibitor ,PRE-emergence,Soybean,Soybean (n=159),62,46,136
ACCase inhibitor,PRE-emergence,Soybean,Soybean (n=159),0,0,
Diterpene synthase-inhibitor,PRE-emergence,Soybean,Soybean (n=159),0,0,
Glutamine synthetase-inhibitor,PRE-emergence,Soybean,Soybean (n=159),7,5,
HPPD-inhibitor,PRE-emergence,Soybean,Soybean (n=159),0,0,
EPSPS-inhibitor,PRE-emergence,Soybean,Soybean (n=159),7,5,
Microtubule inhibitor,PRE-emergence,Soybean,Soybean (n=159),3,2,
PSI-inhibitor,PRE-emergence,Soybean,Soybean (n=159),2,1,
PSII-inhibitor,PRE-emergence,Soybean,Soybean (n=159),0,0,
PPO-inhibitor,PRE-emergence,Soybean,Soybean (n=159),27,20,
Synthetic auxin,PRE-emergence,Soybean,Soybean (n=159),0,0,
LCFA inhibitor,PRE-emergence,Soybean,Soybean (n=159),28,21,
ALS inhibitor ,POST-emergence,Soybean,Soybean (n=159),23,15,149
ACCase inhibitor,POST-emergence,Soybean,Soybean (n=159),20,13,
Diterpene synthase-inhibitor,POST-emergence,Soybean,Soybean (n=159),0,0,
Glutamine synthetase-inhibitor,POST-emergence,Soybean,Soybean (n=159),0,0,
HPPD-inhibitor,POST-emergence,Soybean,Soybean (n=159),0,0,
EPSPS-inhibitor,POST-emergence,Soybean,Soybean (n=159),93,62,
Microtubule inhibitor,POST-emergence,Soybean,Soybean (n=159),0,0,
PSI-inhibitor,POST-emergence,Soybean,Soybean (n=159),0,0,
PSII-inhibitor,POST-emergence,Soybean,Soybean (n=159),2,1,
PPO-inhibitor,POST-emergence,Soybean,Soybean (n=159),11,7,
Synthetic auxin,POST-emergence,Soybean,Soybean (n=159),0,0,
LCFA inhibitor,POST-emergence,Soybean,Soybean (n=159),0,0,
ALS inhibitor ,Harvest aid,Soybean,Soybean (n=159),0,0,102
ACCase inhibitor,Harvest aid,Soybean,Soybean (n=159),0,0,
Diterpene synthase-inhibitor,Harvest aid,Soybean,Soybean (n=159),0,0,
Glutamine synthetase-inhibitor,Harvest aid,Soybean,Soybean (n=159),9,9,
HPPD-inhibitor,Harvest aid,Soybean,Soybean (n=159),0,0,
EPSPS-inhibitor,Harvest aid,Soybean,Soybean (n=159),0,0,
Microtubule inhibitor,Harvest aid,Soybean,Soybean (n=159),0,0,
PSI-inhibitor,Harvest aid,Soybean,Soybean (n=159),91,89,
PSII-inhibitor,Harvest aid,Soybean,Soybean (n=159),2,2,
PPO-inhibitor,Harvest aid,Soybean,Soybean (n=159),0,0,
Synthetic auxin,Harvest aid,Soybean,Soybean (n=159),0,0,
LCFA inhibitor,Harvest aid,Soybean,Soybean (n=159),0,0,
ALS inhibitor ,Burndown,Sugarcane,Sugarcane (n=31),8,5,162
ACCase inhibitor,Burndown,Sugarcane,Sugarcane (n=31),0,0,
Diterpene synthase-inhibitor,Burndown,Sugarcane,Sugarcane (n=31),0,0,
Glutamine synthetase-inhibitor,Burndown,Sugarcane,Sugarcane (n=31),0,0,
HPPD-inhibitor,Burndown,Sugarcane,Sugarcane (n=31),8,5,
EPSPS-inhibitor,Burndown,Sugarcane,Sugarcane (n=31),92,57,
Microtubule inhibitor,Burndown,Sugarcane,Sugarcane (n=31),0,0,
PSI-inhibitor,Burndown,Sugarcane,Sugarcane (n=31),0,0,
PSII-inhibitor,Burndown,Sugarcane,Sugarcane (n=31),8,5,
PPO-inhibitor,Burndown,Sugarcane,Sugarcane (n=31),0,0,
Synthetic auxin,Burndown,Sugarcane,Sugarcane (n=31),38,23,
LCFA inhibitor,Burndown,Sugarcane,Sugarcane (n=31),8,5,
ALS inhibitor ,PRE-emergence,Sugarcane,Sugarcane (n=31),18,9,190
ACCase inhibitor,PRE-emergence,Sugarcane,Sugarcane (n=31),0,0,
Diterpene synthase-inhibitor,PRE-emergence,Sugarcane,Sugarcane (n=31),27,14,
Glutamine synthetase-inhibitor,PRE-emergence,Sugarcane,Sugarcane (n=31),0,0,
HPPD-inhibitor,PRE-emergence,Sugarcane,Sugarcane (n=31),0,0,
EPSPS-inhibitor,PRE-emergence,Sugarcane,Sugarcane (n=31),9,5,
Microtubule inhibitor,PRE-emergence,Sugarcane,Sugarcane (n=31),0,0,
PSI-inhibitor,PRE-emergence,Sugarcane,Sugarcane (n=31),0,0,
PSII-inhibitor,PRE-emergence,Sugarcane,Sugarcane (n=31),73,38,
PPO-inhibitor,PRE-emergence,Sugarcane,Sugarcane (n=31),45,24,
Synthetic auxin,PRE-emergence,Sugarcane,Sugarcane (n=31),0,0,
LCFA inhibitor,PRE-emergence,Sugarcane,Sugarcane (n=31),18,9,
ALS inhibitor ,POST-emergence,Sugarcane,Sugarcane (n=31),10,6,161
ACCase inhibitor,POST-emergence,Sugarcane,Sugarcane (n=31),0,0,
Diterpene synthase-inhibitor,POST-emergence,Sugarcane,Sugarcane (n=31),20,12,
Glutamine synthetase-inhibitor,POST-emergence,Sugarcane,Sugarcane (n=31),0,0,
HPPD-inhibitor,POST-emergence,Sugarcane,Sugarcane (n=31),30,19,
EPSPS-inhibitor,POST-emergence,Sugarcane,Sugarcane (n=31),10,6,
Microtubule inhibitor,POST-emergence,Sugarcane,Sugarcane (n=31),0,0,
PSI-inhibitor,POST-emergence,Sugarcane,Sugarcane (n=31),0,0,
PSII-inhibitor,POST-emergence,Sugarcane,Sugarcane (n=31),50,31,
PPO-inhibitor,POST-emergence,Sugarcane,Sugarcane (n=31),0,0,
Synthetic auxin,POST-emergence,Sugarcane,Sugarcane (n=31),30,19,
LCFA inhibitor,POST-emergence,Sugarcane,Sugarcane (n=31),11,7,
ALS inhibitor ,Harvest aid,Sugarcane,Sugarcane (n=31),0,0,0
ACCase inhibitor,Harvest aid,Sugarcane,Sugarcane (n=31),0,0,
Diterpene synthase-inhibitor,Harvest aid,Sugarcane,Sugarcane (n=31),0,0,
Glutamine synthetase-inhibitor,Harvest aid,Sugarcane,Sugarcane (n=31),0,0,
HPPD-inhibitor,Harvest aid,Sugarcane,Sugarcane (n=31),0,0,
EPSPS-inhibitor,Harvest aid,Sugarcane,Sugarcane (n=31),0,0,
Microtubule inhibitor,Harvest aid,Sugarcane,Sugarcane (n=31),0,0,
PSI-inhibitor,Harvest aid,Sugarcane,Sugarcane (n=31),0,0,
PSII-inhibitor,Harvest aid,Sugarcane,Sugarcane (n=31),0,0,
PPO-inhibitor,Harvest aid,Sugarcane,Sugarcane (n=31),0,0,
Synthetic auxin,Harvest aid,Sugarcane,Sugarcane (n=31),0,0,
LCFA inhibitor,Harvest aid,Sugarcane,Sugarcane (n=31),0,0,
ALS inhibitor ,Burndown,Wheat,Wheat (n=33),4,2,200
ACCase inhibitor,Burndown,Wheat,Wheat (n=33),48,24,
Diterpene synthase-inhibitor,Burndown,Wheat,Wheat (n=33),0,0,
Glutamine synthetase-inhibitor,Burndown,Wheat,Wheat (n=33),0,0,
HPPD-inhibitor,Burndown,Wheat,Wheat (n=33),0,0,
EPSPS-inhibitor,Burndown,Wheat,Wheat (n=33),88,44,
Microtubule inhibitor,Burndown,Wheat,Wheat (n=33),0,0,
PSI-inhibitor,Burndown,Wheat,Wheat (n=33),24,12,
PSII-inhibitor,Burndown,Wheat,Wheat (n=33),0,0,
PPO-inhibitor,Burndown,Wheat,Wheat (n=33),12,6,
Synthetic auxin,Burndown,Wheat,Wheat (n=33),24,12,
LCFA inhibitor,Burndown,Wheat,Wheat (n=33),0,0,
ALS inhibitor ,PRE-emergence,Wheat,Wheat (n=33),75,38,200
ACCase inhibitor,PRE-emergence,Wheat,Wheat (n=33),25,13,
Diterpene synthase-inhibitor,PRE-emergence,Wheat,Wheat (n=33),0,0,
Glutamine synthetase-inhibitor,PRE-emergence,Wheat,Wheat (n=33),0,0,
HPPD-inhibitor,PRE-emergence,Wheat,Wheat (n=33),0,0,
EPSPS-inhibitor,PRE-emergence,Wheat,Wheat (n=33),0,0,
Microtubule inhibitor,PRE-emergence,Wheat,Wheat (n=33),0,0,
PSI-inhibitor,PRE-emergence,Wheat,Wheat (n=33),25,13,
PSII-inhibitor,PRE-emergence,Wheat,Wheat (n=33),25,13,
PPO-inhibitor,PRE-emergence,Wheat,Wheat (n=33),25,13,
Synthetic auxin,PRE-emergence,Wheat,Wheat (n=33),25,13,
LCFA inhibitor,PRE-emergence,Wheat,Wheat (n=33),0,0,
ALS inhibitor ,POST-emergence,Wheat,Wheat (n=33),76,46,164
ACCase inhibitor,POST-emergence,Wheat,Wheat (n=33),42,26,
Diterpene synthase-inhibitor,POST-emergence,Wheat,Wheat (n=33),0,0,
Glutamine synthetase-inhibitor,POST-emergence,Wheat,Wheat (n=33),0,0,
HPPD-inhibitor,POST-emergence,Wheat,Wheat (n=33),0,0,
EPSPS-inhibitor,POST-emergence,Wheat,Wheat (n=33),0,0,
Microtubule inhibitor,POST-emergence,Wheat,Wheat (n=33),0,0,
PSI-inhibitor,POST-emergence,Wheat,Wheat (n=33),0,0,
PSII-inhibitor,POST-emergence,Wheat,Wheat (n=33),0,0,
PPO-inhibitor,POST-emergence,Wheat,Wheat (n=33),4,2,
Synthetic auxin,POST-emergence,Wheat,Wheat (n=33),42,26,
LCFA inhibitor,POST-emergence,Wheat,Wheat (n=33),0,0,
ALS inhibitor ,Harvest aid,Wheat,Wheat (n=33),0,0,100
ACCase inhibitor,Harvest aid,Wheat,Wheat (n=33),0,0,
Diterpene synthase-inhibitor,Harvest aid,Wheat,Wheat (n=33),0,0,
Glutamine synthetase-inhibitor,Harvest aid,Wheat,Wheat (n=33),100,100,
HPPD-inhibitor,Harvest aid,Wheat,Wheat (n=33),0,0,
EPSPS-inhibitor,Harvest aid,Wheat,Wheat (n=33),0,0,
Microtubule inhibitor,Harvest aid,Wheat,Wheat (n=33),0,0,
PSI-inhibitor,Harvest aid,Wheat,Wheat (n=33),0,0,
PSII-inhibitor,Harvest aid,Wheat,Wheat (n=33),0,0,
PPO-inhibitor,Harvest aid,Wheat,Wheat (n=33),0,0,
Synthetic auxin,Harvest aid,Wheat,Wheat (n=33),0,0,
LCFA inhibitor,Harvest aid,Wheat,Wheat (n=33),0,0,
